id_planestudiodetalle;id_planestudio;id_escuela;id_programa;id_asignatura;numgrado;hteoricas;hpracticas;status
DPE12345678901;1000;1;000;ADIMA;0;4;0;1
DPE12345678902;1000;1;000;ADIMC;0;4;0;1
DPE12345678903;1000;1;000;ADIMCP;0;4;0;1
DPE12345678904;1000;1;000;ADIMEV;0;4;0;1
DPE12345678905;1000;1;000;ADIMRL;0;4;0;1
DPE12345678906;1000;1;000;ADIMCM;0;4;0;1
DPE12345678907;1000;1;000;ACD;0;0;0;1
DPE12345678908;1001;1;001;AESP;1;4;0;1
DPE12345678909;1001;1;001;AMAT;1;4;0;1
DPE123456789010;1001;1;001;ANAT;1;4;0;1
DPE123456789011;1001;1;001;ASOC;1;4;0;1
DPE123456789012;1001;1;001;AART;1;2;0;1
DPE123456789013;1001;1;001;AEVA;1;2;0;1
DPE123456789014;1001;1;001;AREL;1;2;0;1
DPE123456789015;1001;1;001;AEFI;1;2;0;1
DPE123456789016;1001;1;001;AINF;1;2;0;1
DPE123456789017;1001;1;001;AING;1;2;0;1
DPE123456789018;1001;1;001;ACD;1;0;0;1
DPE123456789019;1001;1;001;AESP;2;4;0;1
DPE123456789020;1001;1;001;AMAT;2;4;0;1
DPE123456789021;1001;1;001;ANAT;2;4;0;1
DPE123456789022;1001;1;001;ASOC;2;4;0;1
DPE123456789023;1001;1;001;AART;2;2;0;1
DPE123456789024;1001;1;001;AEVA;2;2;0;1
DPE123456789025;1001;1;001;AREL;2;2;0;1
DPE123456789026;1001;1;001;AEFI;2;2;0;1
DPE123456789027;1001;1;001;AINF;2;2;0;1
DPE123456789028;1001;1;001;AING;2;2;0;1
DPE123456789029;1001;1;001;ACD;2;0;0;1
DPE123456789030;1001;1;001;AESP;3;4;0;1
DPE123456789031;1001;1;001;AMAT;3;4;0;1
DPE123456789032;1001;1;001;ANAT;3;4;0;1
DPE123456789033;1001;1;001;ASOC;3;4;0;1
DPE123456789034;1001;1;001;AART;3;2;0;1
DPE123456789035;1001;1;001;AEVA;3;2;0;1
DPE123456789036;1001;1;001;AREL;3;2;0;1
DPE123456789037;1001;1;001;AEFI;3;2;0;1
DPE123456789038;1001;1;001;AINF;3;2;0;1
DPE123456789039;1001;1;001;AING;3;2;0;1
DPE123456789040;1001;1;001;ACD;3;0;0;1
DPE123456789041;1001;1;001;AESP;4;4;0;1
DPE123456789042;1001;1;001;AMAT;4;4;0;1
DPE123456789043;1001;1;001;ANAT;4;4;0;1
DPE123456789044;1001;1;001;ASOC;4;4;0;1
DPE123456789045;1001;1;001;AART;4;2;0;1
DPE123456789046;1001;1;001;AEVA;4;2;0;1
DPE123456789047;1001;1;001;AREL;4;2;0;1
DPE123456789048;1001;1;001;AEFI;4;2;0;1
DPE123456789049;1001;1;001;AINF;4;2;0;1
DPE123456789050;1001;1;001;AING;4;2;0;1
DPE123456789051;1001;1;001;ACD;4;0;0;1
DPE123456789052;1001;1;001;AESP;5;4;0;1
